,AEC,AECI,AVA,AZPS,BANC,BCHA,BPAT,CHPD,CISO,CPLE,CPLW,DEAA,DOPD,DUK,EEI,EPE,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GRIS,GRMA,GVL,GWA,HGMA,HQT,HST,IESO,IID,IPCO,ISNE,JEA,LDWP,LGEE,MHEB,MISO,NBSO,NEVP,NEWL,NSB,NWMT,NYIS,OVEC,PACE,PACW,PGE,PJM,PNM,PSCO,PSEI,SC,SCEG,SCL,SEC,SEPA,SOCO,SPA,SRP,SWPP,TAL,TEC,TEPC,TIDC,TPWR,TVA,WACM,WALC,WAUE,WAUW,WWA,YAD
CPLW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5965228131576977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001788237934231162,0.0,0.0,0.0,0.0,0.0,0.0,0.0011763094433000693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.158142056555774e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9453613653603676e-05,0.0,0.0,0.0,0.0,0.0,0.00011253942069670806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03147794901878327,0.0,0.0,0.0,0.004015809474051822,0.0005151645769193357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOPD,0.0,0.0,0.004320961778132836,1.9996282493500238e-05,0.004964617174841451,0.0,0.014900052069010409,0.0,0.0013106447460273824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000652395335248288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000431652240484194,0.0,0.0,0.002950052012708461,0.0,0.0,0.0,0.0,0.00044603639056478556,0.0,0.0,0.0,0.0,0.0,0.0005026017891440975,0.003134053204463816,0.005920084674550495,0.0,0.0,0.0,0.005648866378328971,0.0,0.0,0.003924423682013443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006703921416749268,0.004943555494368023,0.0,0.0,5.015746509149777e-05,0.0,0.0,0.0,0.0
DUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011490570540505356,0.20136453314693,0.0,0.0,0.9436186069403292,0.0,0.0,0.0,2.582352370104658e-05,0.00020603895291977317,0.00021541693644192423,0.0,0.0,0.0,0.0,0.0,4.4014326563216704e-05,0.0,0.0,0.0,0.00011205891865279991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001002228192803405,0.0,0.0,0.0,0.00011438235309961596,0.0,0.0001470681305744638,0.0,0.0,0.0,0.0,0.0032385810580843255,0.0,0.0,0.0,0.0010662019430550296,0.0007380264306840348,0.0,0.0,0.0001297486831262637,0.005910098737868426,0.0,0.0,0.0,0.0013417895792286667,1.1728119608882737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2720560128248286e-05,0.0,0.0,0.0,0.8815931496422497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031444245515225976,0.0,0.00295617664014551,0.0,0.0,0.0,0.0,0.0,0.0,0.005520568344908883,0.0,0.0,0.0,0.00016616190637413965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018291529570476026,0.0,0.0,0.0,0.0,0.0,0.0
EPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560659332231905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCO,0.0,1.9033967514973203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036355286747745294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8051585914079045,0.05531185651569196,4.10446244856992e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.135122851687975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01376467805154639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003148453531784282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025432110649738454,0.7692618352505664,0.0005708371612889497,0.0,0.0,0.0,0.0,0.0,0.00011663434475666248,0.0,0.0,0.0,0.0002969469164190767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19143529374324594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043787811413894366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10657383154847919,0.06339370154352558,0.910717601652039,0.0,0.0,0.0,0.0,0.0,0.18607924979375545,0.0,0.0,0.0,0.4737511883923404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28275463565096964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003608487150688344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
