,AEC,AECI,AVA,AZPS,BANC,BCHA,BPAT,CHPD,CISO,CPLE,CPLW,DEAA,DOPD,DUK,EEI,EPE,ERCO,FMPP,FPC,FPL,GCPD,GRID,GRIF,GRIS,GRMA,GVL,GWA,HGMA,HQT,HST,IESO,IID,IPCO,ISNE,JEA,LDWP,LGEE,MHEB,MISO,NBSO,NEVP,NEWL,NSB,NWMT,NYIS,OVEC,PACE,PACW,PGE,PJM,PNM,PSCO,PSEI,SC,SCEG,SCL,SEC,SEPA,SOCO,SPA,SRP,SWPP,TAL,TEC,TEPC,TIDC,TPWR,TVA,WACM,WALC,WAUE,WAUW,WWA,YAD
CPLW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5965228131576977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
DEAA,0.0,1.564604922893164e-13,0.0,4.477441379065713e-06,0.0,0.0,0.0,0.0,0.001788237934231162,3.363389345369734e-19,1.1651266199029178e-16,0.0,0.0,2.149450649327405e-17,2.9960078034862814e-16,0.0011763094433000693,0.0,1.809810774296417e-19,1.443999359792425e-18,1.5097238357239395e-18,0.0,0.0,-0.0,0.0,0.0,3.084691437144274e-19,-0.0,-0.0,0.0,7.853515294104643e-19,0.0,0.0,3.158142056555774e-05,2.6528124941770515e-20,0.0,3.4297733294303125e-06,1.283685168455832e-16,0.0,1.6451709256422513e-14,0.0,4.9453613653603676e-05,0.0,8.01635041853999e-19,0.0,9.300350907167875e-19,2.253726107810338e-17,0.00011253942069670806,1.3155318708348657e-06,7.888252664644077e-08,2.0480263238432113e-17,4.4439200659269097e-07,3.143424716290195e-09,0.0,4.762842865586391e-18,5.172369973325372e-18,0.0,0.0,9.09328128070946e-19,4.142022017125586e-17,0.0,0.03147794901878327,2.9884290058795427e-12,9.403771791331015e-18,8.219512362494828e-20,0.004015809474051822,0.0005151645769193357,0.0,2.5298027764294003e-15,2.4076532397766713e-08,5.995302471286709e-06,0.0,0.0,-0.0,0.0
DOPD,0.0,6.987535822394449e-13,0.004320961778132836,1.9996282493500238e-05,0.004964617174841451,0.0,0.014900052069010409,0.0,0.0013106447460273824,1.5020918822096537e-18,5.203463107570009e-16,0.0,1.0,9.599460663124744e-17,1.3380190452374785e-15,2.635344570750555e-06,0.0,8.082626759071728e-19,6.448910588499531e-18,6.742436528025749e-18,0.000652395335248288,0.0,-0.0,0.0,0.0,1.3776252140522527e-18,-0.0,-0.0,0.0,3.507385068673085e-18,0.0,0.0,0.000431652240484194,1.184747795557297e-19,0.0,0.002950052012708461,5.732946361101323e-16,0.0,7.347344117791723e-14,0.0,0.00044603639056478556,0.0,3.5801073417841834e-18,0.0,4.153542800089458e-18,1.0065155542953429e-16,0.0005026017891440975,0.003134053204463816,0.005920084674550495,9.146498961922559e-17,1.984657608970217e-06,1.4038555349462915e-08,0.005648866378328971,2.1270887399600257e-17,2.309983814217894e-17,0.003924423682013443,0.0,4.061065369433514e-18,1.84982974285246e-16,0.0,5.838126426171727e-06,1.334634349267723e-11,4.1997306346219826e-17,3.670839598877347e-19,8.005084797736258e-06,0.0006703921416749268,0.004943555494368023,1.1298115751295264e-14,1.0752595121415395e-07,5.015746509149777e-05,0.0,0.0,-0.0,0.0
DUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011490570540505356,0.20136453314693,0.0,0.0,0.9436186069403292,7.344166822504993e-07,0.0,0.0,2.582352370104658e-05,0.00020603895291977317,0.00021541693644192423,0.0,0.0,-0.0,0.0,0.0,4.4014326563216704e-05,-0.0,-0.0,0.0,0.00011205891865279991,0.0,0.0,0.0,4.194940364911517e-06,0.0,0.0,3.1467201165980615e-07,0.0,0.0001002228192803405,0.0,0.0,0.0,0.00011438235309961596,0.0,0.0001470681305744638,5.524598597084324e-08,0.0,0.0,0.0,0.0032385810580843255,0.0,0.0,0.0,0.0010662019430550296,0.0007380264306840348,0.0,0.0,0.0001297486831262637,0.005910098737868426,0.0,0.0,0.0,0.0013417895792286667,1.1728119608882737e-05,0.0,0.0,0.0,6.201350208939432e-06,0.0,0.0,0.0,0.0,-0.0,0.0
EEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.431870825704715e-08,3.2720560128248286e-05,0.0,0.0,1.5541424999123182e-06,0.8815931496422497,0.0,0.0,1.3085686996411937e-08,1.044071784389106e-07,1.0915933226768511e-07,0.0,0.0,-0.0,0.0,0.0,2.230360610085025e-08,-0.0,-0.0,0.0,5.678419225907181e-08,0.0,0.0,0.0,2.152298416059523e-07,0.0,0.0,0.031444245515225976,0.0,0.00295617664014551,0.0,0.0,0.0,5.796155814761956e-08,0.0,7.545625848126449e-06,0.005520568344908883,0.0,0.0,0.0,0.00016616190637413965,0.0,0.0,0.0,3.4437341095168756e-07,3.739839294905747e-07,0.0,0.0,6.574821760355315e-08,2.9948547338836306e-06,0.0,0.0,0.0,6.799319353974147e-07,5.943050376664933e-09,0.0,0.0,0.0,0.00018291529570476026,0.0,0.0,0.0,0.0,-0.0,0.0
EPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560659332231905,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
ERCO,0.0,1.9033967514973203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091681075730955e-11,1.417417388221843e-08,0.0,0.0,2.6148820852923732e-09,3.6447485478133067e-08,0.0,1.0,2.201698267860986e-11,1.756675854956893e-10,1.836631984553227e-10,0.0,0.0,-0.0,0.0,0.0,3.7526352978456844e-11,-0.0,-0.0,0.0,9.554076738421473e-11,0.0,0.0,0.0,3.2272394199113036e-12,0.0,0.0,1.5616480197863733e-08,0.0,2.0014081188846696e-06,0.0,0.0,0.0,9.752171377103029e-11,0.0,1.1314202994935388e-10,2.7417368369508924e-09,0.0,0.0,0.0,2.491495836901664e-09,0.0,0.0,0.0,5.794165354846163e-10,6.292369441459342e-10,0.0,0.0,1.1062295533462045e-10,5.038915023639842e-09,0.0,0.0,0.00036355286747745294,1.1440018126968271e-09,9.999325005788066e-12,0.0,0.0,0.0,3.077593784941338e-07,0.0,0.0,0.0,0.0,-0.0,0.0
FMPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8051585914079045,0.05531185651569196,4.10446244856992e-05,0.0,0.0,-0.0,0.0,0.0,8.386302096841889e-06,-0.0,-0.0,0.0,2.135122851687975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01376467805154639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003148453531784282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
FPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025432110649738454,0.7692618352505664,0.0005708371612889497,0.0,0.0,-0.0,0.0,0.0,0.00011663434475666248,-0.0,-0.0,0.0,0.0002969469164190767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19143529374324594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043787811413894366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
FPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10657383154847919,0.06339370154352558,0.910717601652039,0.0,0.0,-0.0,0.0,0.0,0.18607924979375545,-0.0,-0.0,0.0,0.4737511883923404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28275463565096964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003608487150688344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
GCPD,0.0,7.107072670129694e-12,0.0075524156655057285,0.00020338361967073144,0.008677432120381674,0.0,0.026043134015286774,0.0,0.0023592012782040796,1.5277883985742047e-17,5.292479549559772e-15,0.0,0.0,9.763680109979072e-16,1.360908742398645e-14,1.6046125782106507e-05,0.0,8.220897495531283e-18,6.559233091692298e-17,6.857780424515283e-17,0.8848974585302714,0.0,-0.0,0.0,0.0,1.4011924600219444e-17,-0.0,-0.0,0.0,3.5673864433435595e-17,0.0,0.0,0.0019424999003023469,1.2050154579266715e-18,0.0,0.0052592280920219165,5.831020754372407e-15,0.0,7.4730362612584e-13,0.0,0.0011001114845034445,0.0,3.641352787541919e-17,0.0,4.2245980942412075e-17,1.023734170359014e-15,0.005111998750884773,0.03187722498640282,0.011930421170517028,9.30296952343551e-16,2.0186094512848912e-05,1.4278715070412513e-07,0.009873400672957491,2.163477173492353e-16,2.3495010618556213e-16,0.006859324478201585,0.0,4.130538637985932e-17,1.881475064168568e-15,0.0,3.485943602976644e-05,1.357466143915464e-10,4.27157607114782e-16,3.733637215282432e-18,4.469094086385182e-05,0.001191448820354904,0.00864061935190166,1.149139435144632e-13,1.0936541416426577e-06,0.0001533015235541022,0.0,0.0,-0.0,0.0
GRID,0.0,7.914822705671119e-13,0.004894378685300748,2.2649906165967332e-05,0.005623450918772517,0.0,0.016877376149332362,0.0,0.0014845749715772256,1.7014282627667806e-18,5.893993104110378e-16,0.0,0.0,1.0873365253483704e-16,1.5155820004421825e-15,2.9850702130205336e-06,0.0,9.155238616328717e-19,7.304718752083365e-18,7.637197301019013e-18,0.0007389720129874973,1.0,-0.0,0.0,0.0,1.5604441395692774e-18,-0.0,-0.0,0.0,3.972835586773827e-18,0.0,0.0,0.0004889350181202191,1.3419707592364687e-19,0.0,0.0033415411736801045,6.493741883056342e-16,0.0,8.322379666877984e-14,0.0,0.0005052280290690537,0.0,4.055208530978715e-18,0.0,4.704742229408647e-18,1.140086056835134e-16,0.0005692999869681487,0.0035499604000557884,0.006705714545527925,1.0360292884540062e-16,2.2480332846547945e-06,1.5901553775029438e-08,0.006398503994671394,2.4093658600012558e-17,2.6165321806163442e-17,0.004445217663933151,0.0,4.5999925026778045e-18,2.0953129719107903e-16,0.0,6.612879958103509e-06,1.5117481355155284e-11,4.757059459799394e-17,4.1579814894050905e-19,9.067406383075145e-06,0.000759357100914863,0.005599594230081717,1.2797441809609133e-14,1.2179527400648634e-07,5.6813654148688965e-05,0.0,0.0,-0.0,0.0
GRIF,0.0,1.7056033440487967e-14,0.0,4.88093759464567e-07,0.0,0.0,0.0,0.0,0.0007766393367048233,3.666489879242457e-20,1.2701250201053999e-17,0.0,0.0,2.343153956451543e-18,3.2660007990856985e-17,0.0015055233792153923,0.0,1.972906555239241e-20,1.574129098553562e-19,1.6457765057005097e-19,0.0,0.0,1.0,0.0,0.0,3.362676387866138e-20,-0.0,-0.0,0.0,8.561255146375309e-20,0.0,0.0,3.4427461999047295e-06,2.8918775564352246e-21,0.0,0.008138299058728714,1.3993677790400334e-17,0.0,1.7934297606060137e-15,0.0,3.0076114147990107e-05,0.0,8.738764579396888e-20,0.0,1.0138476094502189e-19,2.456826467696004e-18,1.2268120179673396e-05,1.434084429409614e-07,8.59912296494638e-09,2.232589515433517e-18,4.844395421634527e-08,3.426702568438927e-10,0.0,5.192058774621277e-19,5.638491477355355e-19,0.0,0.0,9.912745852847741e-20,4.515291048982297e-18,0.0,0.0034314665846095077,3.2577390185219377e-13,1.0251217019250754e-18,8.96023498762753e-21,0.005139974929712284,0.00022373816574049586,0.0,2.7577824996761473e-16,2.624625141457141e-09,0.04993810262199388,0.0,0.0,-0.0,0.0
GRIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
GRMA,0.0,3.221553119734823e-09,0.0,0.0921914218222351,0.0,0.0,0.0,0.0,0.004515344182525174,6.9252865563165576e-15,2.3990192299111377e-12,0.0,0.0,4.425762276301857e-13,6.168840545524832e-12,0.005712819823524858,0.0,3.726436917559434e-15,2.9732238307369943e-14,3.108551853410336e-14,0.0,0.0,-0.0,0.0,1.0,6.351441937416169e-15,-0.0,-0.0,0.0,1.617054652354277e-14,0.0,0.0,1.8060020225536642e-05,5.462194475832641e-16,0.0,0.009192177485271636,2.6431336746334584e-12,0.0,3.387440145720238e-10,0.0,0.00012113506161321209,0.0,1.650582733178482e-14,0.0,1.9149610257017654e-14,4.640467550248136e-13,6.435632652222432e-05,7.522946013557875e-07,4.5109434634799925e-08,4.2169275427536515e-13,0.009150121121801287,6.472374944781961e-05,0.0,9.806789604153827e-14,1.0650014185802788e-13,0.0,0.0,1.872324971618163e-14,8.528506945131483e-13,0.0,0.012244139333497954,6.153235648265095e-08,1.9362555945188836e-13,1.692414187546454e-15,0.014929498651620991,0.0013008030592058049,0.0,5.2089149838859683e-11,0.0004957406622177565,0.01772048312808591,0.0,0.0,-0.0,0.0
GVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375682591810375e-06,0.00041611179263612865,3.0877922652940934e-07,0.0,0.0,-0.0,0.0,0.0,0.7956784935321317,-0.0,-0.0,0.0,1.606255608256782e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010355184620250836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3685855541128526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
