,Dest BAA,Fuel Type,BAA_Fuel_%
114,DOPD,Other Renew,0.0
115,DOPD,Solar,0.0
116,DOPD,Wind,0.0
117,DUK,Coal,0.23486599243380735
118,DUK,Gas,0.22136162816484614
119,DUK,Geo,4.6214094450017726e-14
120,DUK,Hydro,0.02221519280415097
121,DUK,Nuclear,0.510395352012061
122,DUK,Other Fossil,0.005157843290893438
123,DUK,Other Renew,-0.004690008858058409
124,DUK,Solar,0.010649451337792363
125,DUK,Wind,4.4548814461195956e-05
126,EEI,Coal,0.8001956545131533
127,EEI,Gas,0.15079808969402828
128,EEI,Geo,6.441542380301996e-13
129,EEI,Hydro,0.009527600190290364
130,EEI,Nuclear,0.03802988875095834
131,EEI,Other Fossil,0.0003825578886505693
132,EEI,Other Renew,0.000366794085329874
133,EEI,Solar,7.847211097871151e-05
134,EEI,Wind,0.0006209427659658363
135,EPE,Coal,0.2926925625059279
136,EPE,Gas,0.5823539835376876
137,EPE,Geo,0.0005637459092405833
138,EPE,Hydro,0.01489283294656704
139,EPE,Nuclear,0.013389629967090177
140,EPE,Other Fossil,0.0019092968761230456
141,EPE,Other Renew,0.0007707285515965927
142,EPE,Solar,0.05841051709481682
143,EPE,Wind,0.03501670261095053
144,ERCO,Coal,0.25701150800000006
145,ERCO,Gas,0.482621978
146,ERCO,Geo,0.0
147,ERCO,Hydro,0.002739903
148,ERCO,Nuclear,0.10977278900000002
149,ERCO,Other Fossil,0.008228953000000002
150,ERCO,Other Renew,0.00029484700000000005
151,ERCO,Solar,0.0018328800000000005
152,ERCO,Wind,0.13749714200000002
153,FMPP,Coal,0.3176516022551523
154,FMPP,Gas,0.62891882879973
155,FMPP,Geo,3.8911694330201847e-16
156,FMPP,Hydro,0.0002653929454788123
157,FMPP,Nuclear,0.02702237211910464
158,FMPP,Other Fossil,0.015368852774120962
159,FMPP,Other Renew,0.009967676887339124
160,FMPP,Solar,0.0008048991235821482
161,FMPP,Wind,3.7509549234200514e-07
162,FPC,Coal,0.23415760924888587
163,FPC,Gas,0.7043884257505928
164,FPC,Geo,3.104659474640082e-15
165,FPC,Hydro,0.0014723354388516473
166,FPC,Nuclear,0.02222374412943234
167,FPC,Other Fossil,0.017076154286173133
168,FPC,Other Renew,0.020018450674894883
169,FPC,Solar,0.0006602876850800976
170,FPC,Wind,2.992786087164845e-06
171,FPL,Coal,0.047543772340493916
172,FPL,Gas,0.6931749703166462
173,FPL,Geo,3.2459698674920792e-15
174,FPL,Hydro,0.002231661217525181
175,FPL,Nuclear,0.2307478652294979
176,FPL,Other Fossil,0.021017543258019408
177,FPL,Other Renew,0.004042684372714464
178,FPL,Solar,0.0012383742606026178
179,FPL,Wind,3.1290044973169857e-06
180,GCPD,Coal,0.003060919373259109
181,GCPD,Gas,0.03507847534679704
182,GCPD,Geo,2.072708001417489e-05
183,GCPD,Hydro,0.9326415300067119
