,BAA1_1_2,BAA2_1_2,Transacting BAAs_1_2,Exchange_1_2,BAA2_2_1,BAA1_2_1,Transacting BAAs_2_1,Exchange_2_1,Exchange_1_2_abs,Exchange_2_1_abs,Status_Check,Delta,Percent_Diff_Avg,Exchange_mean,Final_Exchange,Export_BAA,Import_BAA
945,EEI,TVA,EEI-TVA,-446490.0,EEI,TVA,TVA-EEI,445063.0,446490.0,445063.0,keep,1427.0,0.003201163937014695,445776.5,445776.5,TVA,EEI
996,EPE,PNM,EPE-PNM,-1846464.0,EPE,PNM,PNM-EPE,1847003.0,1846464.0,1847003.0,keep,-539.0,0.00029186669948794153,1846733.5,1846733.5,PNM,EPE
1007,EPE,SWPP,EPE-SWPP,-85626.0,EPE,SWPP,SWPP-EPE,85620.0,85626.0,85620.0,keep,6.0,7.007462956637456e-05,85623.0,85623.0,SWPP,EPE
1010,EPE,TEPC,EPE-TEPC,-2663289.0,EPE,TEPC,TEPC-EPE,2556811.0,2663289.0,2556811.0,keep,106478.0,0.04081236769610325,2610050.0,2610050.0,TEPC,EPE
1075,ERCO,SWPP,ERCO-SWPP,98336.0,ERCO,SWPP,SWPP-ERCO,-94644.0,98336.0,94644.0,keep,3692.0,0.03827704240693536,96490.0,96490.0,ERCO,SWPP
1105,FMPP,FPC,FMPP-FPC,3855904.0,FMPP,FPC,FPC-FMPP,-3956126.0,3855904.0,3956126.0,keep,-100222.0,0.025662599365313177,3906015.0,3906015.0,FMPP,FPC
1106,FMPP,FPL,FMPP-FPL,-2797034.0,FMPP,FPL,FPL-FMPP,2866856.0,2797034.0,2866856.0,keep,-69822.0,0.024658887227995863,2831945.0,2831945.0,FPL,FMPP
1119,FMPP,JEA,FMPP-JEA,-572125.0,FMPP,JEA,JEA-FMPP,581739.0,572125.0,581739.0,keep,-9614.0,0.016665165864112763,576932.0,576932.0,JEA,FMPP
1145,FMPP,TEC,FMPP-TEC,-1356972.0,FMPP,TEC,TEC-FMPP,1397560.0,1356972.0,1397560.0,keep,-40588.0,0.029476378838123762,1377266.0,1377266.0,TEC,FMPP
1172,FPC,FMPP,FPC-FMPP,-3956126.0,FPC,FMPP,FMPP-FPC,3855904.0,3956126.0,3855904.0,keep,100222.0,0.025662599365313177,3906015.0,3906015.0,FMPP,FPC
1174,FPC,FPL,FPC-FPL,-3988730.0,FPC,FPL,FPL-FPC,3918774.0,3988730.0,3918774.0,keep,69956.0,0.01769495799916515,3953752.0,3953752.0,FPL,FPC
1180,FPC,GVL,FPC-GVL,-28693.0,FPC,GVL,GVL-FPC,30077.0,28693.0,30077.0,keep,-1384.0,0.04712499433704681,29385.0,29385.0,GVL,FPC
1192,FPC,NSB,FPC-NSB,179560.0,FPC,NSB,NSB-FPC,-176949.0,179560.0,176949.0,keep,2611.0,0.014648382264603188,178254.5,178254.5,FPC,NSB
1206,FPC,SEC,FPC-SEC,-4134693.0,FPC,SEC,SEC-FPC,3772395.0,4134693.0,3772395.0,keep,362298.0,0.09183158574199707,3953544.0,3953544.0,SEC,FPC
1208,FPC,SOCO,FPC-SOCO,-1986856.0,FPC,SOCO,SOCO-FPC,1958071.0,1986856.0,1958071.0,keep,28785.0,0.014594202961500324,1972463.5,1972463.5,SOCO,FPC
